date,daily_return,equity_twr
2025-08-01,0.0,1.0
2025-08-02,0.0,1.0
2025-08-03,0.0,1.0
2025-08-04,0.0,1.0
2025-08-05,0.0,1.0
2025-08-06,0.0,1.0
2025-08-07,0.0,1.0
2025-08-08,0.0,1.0
2025-08-09,0.0,1.0
2025-08-10,0.0,1.0
2025-08-11,0.0,1.0
2025-08-12,0.0,1.0
2025-08-13,0.0,1.0
2025-08-14,0.0,1.0
2025-09-25,0.0283447584,1.0283447584
2025-09-26,0.0,1.0283447584
2025-09-27,0.0,1.0283447584
2025-09-28,0.0,1.0283447584
2025-09-29,0.0,1.0283447584
2025-09-30,0.0,1.0283447584
2025-10-01,0.0,1.0283447584
2025-10-02,0.0,1.0283447584
2025-10-03,0.0,1.0283447584
2025-10-04,0.0,1.0283447584
2025-10-05,0.0,1.0283447584
2025-10-06,0.0,1.0283447584
2025-10-07,0.0,1.0283447584
2025-10-08,0.0,1.0283447584
2025-10-09,0.0,1.0283447584
2025-10-11,0.049948325,1.0797088566
2025-10-12,0.0,1.0797088566
2025-10-13,0.0,1.0797088566
2025-10-14,0.0,1.0797088566
2025-10-15,0.0,1.0797088566
2025-10-16,0.0,1.0797088566
2025-10-17,0.0,1.0797088566
2025-10-18,0.0,1.0797088566
2025-10-19,0.0,1.0797088566
2025-10-20,0.0,1.0797088566
2025-10-21,0.0,1.0797088566
2025-10-22,0.0,1.0797088566
2025-10-23,0.0,1.0797088566
2025-10-24,0.0,1.0797088566
2025-10-25,0.0,1.0797088566
2025-11-20,0.0,1.0797088566
2025-11-21,0.0,1.0797088566
