date,daily_return,equity_twr
2025-07-11,-0.0231681308,0.9768318692
2025-07-12,0.0,0.9768318692
2025-07-13,0.0,0.9768318692
2025-07-14,0.0,0.9768318692
2025-07-15,0.0,0.9768318692
2025-07-16,0.0,0.9768318692
2025-07-17,0.0,0.9768318692
2025-07-18,0.0,0.9768318692
2025-07-19,0.0,0.9768318692
2025-07-20,0.0,0.9768318692
2025-07-21,0.0,0.9768318692
2025-07-22,0.0,0.9768318692
2025-07-23,0.0,0.9768318692
2025-07-24,0.0,0.9768318692
2025-07-25,0.0,0.9768318692
2025-08-01,0.0,0.9768318692
2025-09-05,0.0066269681,0.9833053028
2025-09-06,0.0,0.9833053028
2025-09-07,0.0,0.9833053028
2025-09-08,0.0,0.9833053028
2025-09-09,0.0,0.9833053028
2025-09-10,0.0,0.9833053028
2025-09-11,0.0,0.9833053028
2025-09-12,0.0,0.9833053028
2025-09-13,0.0,0.9833053028
2025-09-14,0.0,0.9833053028
2025-09-15,0.0,0.9833053028
2025-09-16,0.0,0.9833053028
2025-09-17,0.0,0.9833053028
2025-09-18,0.0,0.9833053028
2025-09-19,0.0,0.9833053028
2025-11-20,0.0,0.9833053028
2025-11-21,0.0,0.9833053028
